demand_elec.fix,demand_heat.fix,elec_net_dyn.emission_factor,elec_net_dyn.variable_costs,t_wp_A_W70.eff_out_1,t_wp_A_W70.max,pv.fix
229.7758077,1269.624644,0.057,0.15,1.15,0.34736935,0.024298706
191.5674512,1256.071155,0.057,0.15,1.18,0.346221751,0.025829898
184.6805791,1245.881275,0.059,0.15,1.18,0.346221751,0.027011064
206.1399274,1229.251328,0.06,0.15,1.15,0.34736935,0.010082804
195.6263632,1206.465396,0.058,0.15,1.18,0.346221751,0
175.303878,1180.625444,0.056,0.15,1.06,0.350812147,0
187.0502851,1181.171106,0.056,0.15,1.06,0.350812147,0
187.0755075,1171.074493,0.057,0.15,1.09,0.349664548,0
151.8099405,1156.759556,0.06,0.15,1.03,0.351959746,0
132.4457713,1172.311692,0.058,0.15,1.03,0.351959746,0
118.975993,1210.481377,0.034,0.15,1,0.353107345,0
109.1779381,1243.203504,0.006,0.15,1,0.353107345,0
90.36680404,1271.928839,0.006,0.15,1,0.353107345,0
78.02041683,1290.668428,0.006,0.15,1,0.353107345,0
68.63235591,1303.603964,0.006,0.15,1,0.353107345,0
65.53073645,1312.696042,0.006,0.15,1,0.353107345,0
72.09053635,1321.622561,0.006,0.15,1,0.353107345,0
85.96977703,1342.673987,0.006,0.15,1,0.353107345,0
103.2357832,1380.712302,0.006,0.15,1,0.353107345,0
141.149007,1430.46866,0.019,0.15,1,0.353107345,0
238.7140434,1441.028715,0.049,0.15,1,0.353107345,0
282.308716,1450.539501,0.048,0.15,1,0.353107345,0.014298575
278.0942875,1424.660736,0.048,0.15,1,0.353107345,0.034722494
264.222354,1394.841586,0.048,0.15,1,0.353107345,0.073965584
229.7758077,1364.390413,0.048,0.15,1,0.353107345,0.086916634
191.5674512,1337.50096,0.049,0.15,1,0.353107345,0.106841775
184.6805791,1320.772076,0.047,0.15,1,0.353107345,0.061822476
206.1399274,1307.971157,0.05,0.15,1,0.353107345,0.077433456
195.6263632,1297.142145,0.049,0.15,1,0.353107345,0
175.303878,1283.47789,0.047,0.15,1,0.353107345,0
187.0502851,1297.510808,0.046,0.15,1,0.353107345,0
187.0755075,1303.40495,0.047,0.15,1,0.353107345,0
151.8099405,1305.040997,0.049,0.15,1,0.353107345,0
132.2858204,1334.023976,0.05,0.15,1,0.353107345,0
116.9336923,1380.931091,0.034,0.15,1,0.353107345,0
100.8372817,1413.773734,0.036,0.15,1,0.353107345,0
76.31514786,1433.561525,0.018,0.15,1,0.353107345,0
62.54006725,1437.583144,0.018,0.15,1,0.353107345,0
59.45835725,1428.493607,0.019,0.15,1,0.353107345,0
58.68369896,1404.477199,0.019,0.15,1,0.353107345,0
56.7104609,1365.858028,0.02,0.15,1,0.353107345,0
56.45042597,1320.273909,0.041,0.15,1.12,0.348516949,0
59.24667333,1282.459468,0.038,0.15,1.33,0.340483757,0
73.44092177,1283.606581,0.078,0.15,1.48,0.334745763,0
88.04372521,1343.772938,0.158,0.15,1.54,0.332450565,0.00074286
103.5002775,1413.898609,0.158,0.15,1.57,0.331302966,0.012679833
121.156773,1352.862981,0.156,0.15,1.51,0.333598164,0.035356322
125.5617344,1326.921244,0.153,0.15,1.57,0.331302966,0.049247966
143.9557209,1322.578204,0.153,0.15,1.57,0.331302966,0.044985959
144.2307848,1246.56078,0.154,0.15,1.57,0.331302966,0.042128384
133.4625107,1216.486352,0.16,0.15,1.6,0.330155367,0.034276831
132.6154355,1182.306723,0.16,0.15,1.69,0.326712571,0.033222632
123.4757647,1161.632256,0.169,0.15,1.6,0.330155367,0
103.8951573,1119.818842,0.169,0.15,1.51,0.333598164,0
101.7005998,1099.572732,0.168,0.15,1.57,0.331302966,0
119.4575017,1087.234212,0.166,0.15,1.54,0.332450565,0
146.3424965,1124.506464,0.161,0.15,1.39,0.338188559,0
132.0564209,1177.171491,0.167,0.15,1.36,0.339336158,0
89.40730611,1175.124127,0.171,0.15,1.39,0.338188559,0
67.48765564,1205.939386,0.148,0.15,1.24,0.343926554,0
60.64014924,1217.603161,0.099,0.15,1.21,0.345074153,0
58.73150055,1230.776016,0.084,0.15,1.3,0.341631356,0
59.03321292,1231.334943,0.085,0.15,1.39,0.338188559,0
58.68369896,1223.859883,0.09,0.15,1.42,0.33704096,0
56.7104609,1210.57842,0.091,0.15,1.3,0.341631356,0
56.45042597,1197.427434,0.082,0.15,1.18,0.346221751,0
59.24667333,1197.132468,0.082,0.15,1,0.353107345,0
73.44092177,1236.390548,0.081,0.15,1,0.353107345,0
88.04372521,1329.345875,0.076,0.15,1,0.353107345,0.000742479
103.5002775,1421.385074,0.105,0.15,1,0.353107345,0.009457443
121.156773,1367.719372,0.103,0.15,1.09,0.349664548,0.017124649
125.5617344,1337.720752,0.101,0.15,1.15,0.34736935,0.03735487
143.9557209,1319.860058,0.1,0.15,1.12,0.348516949,0.148750418
144.2307848,1229.370626,0.082,0.15,1.15,0.34736935,0.134146107
133.4625107,1191.392319,0.077,0.15,1.27,0.342778955,0.051392762
132.6154355,1160.518439,0.077,0.15,1.18,0.346221751,0.01036991
123.4757647,1147.025347,0.1,0.15,1.24,0.343926554,0
103.8951573,1109.469397,0.111,0.15,1.3,0.341631356,0
101.7005998,1089.759644,0.109,0.15,1.42,0.33704096,0
119.4575017,1075.213691,0.109,0.15,1.45,0.335893362,0
146.3424965,1106.805139,0.113,0.15,1.48,0.334745763,0
132.0078924,1151.745437,0.116,0.15,1.48,0.334745763,0
89.3386208,1139.436384,0.117,0.15,1.6,0.330155367,0
66.82979032,1157.337731,0.12,0.15,1.66,0.327860169,0
61.18309287,1155.707996,0.091,0.15,1.63,0.329007768,0
58.68145581,1155.354134,0.085,0.15,1.9,0.318679379,0
53.94883194,1143.208841,0.087,0.15,2.08,0.311793785,0
53.47605976,1130.271902,0.09,0.15,2.2,0.30720339,0
61.27360105,1123.692969,0.089,0.15,2.35,0.301465395,0
70.1354746,1129.977336,0.091,0.15,2.44,0.298022599,0
87.57451075,1098.611443,0.094,0.15,2.35,0.301465395,0
130.5149541,1088.091477,0.103,0.15,2.44,0.298022599,0
241.0095535,1086.988094,0.129,0.15,2.508,0.298693503,0.00148684
296.3018971,1070.327834,0.166,0.15,2.528,0.306108757,0.070046187
295.1886619,1047.618665,0.168,0.15,2.532,0.307591808,0.190598524
285.9192606,1016.113067,0.164,0.15,2.588,0.32835452,0.189494524
267.0793786,972.36239,0.164,0.15,2.608,0.335769774,0.119172453
222.7227204,915.5208001,0.17,0.15,2.64,0.347634181,0.066086535
193.4317355,861.2225601,0.177,0.15,2.632,0.344668079,0.055467741
201.8170863,831.3314763,0.198,0.15,2.648,0.350600282,0.009190562
200.8792375,793.3580981,0.234,0.15,2.652,0.352083333,0
173.3171767,761.2714996,0.257,0.15,2.648,0.350600282,0
141.6655747,741.5489866,0.247,0.15,2.628,0.343185028,0
140.3481792,740.3994482,0.242,0.15,2.556,0.316490113,0
142.3695728,759.3771188,0.248,0.15,2.512,0.300176554,0
