label,active,investment,in_1,in_2,out_1,out_2,eff_in_1,eff_in_2,eff_out_1,eff_out_2,flow.nominal_value,flow.variable_costs,flow.max,invest.minimum,invest.maximum
gas-boiler,1,0,b_gas,0,b_heat,0,1,,,,,,,,1000
micro-chp,1,0,b_gas,0,b_elec,b_heat,1,,,,,,,,100
pellet-boiler,1,0,b_wood,0,b_heat,0,1,,,,,,,,100
wood-boiler,1,0,b_wood,0,b_heat,0,1,,,,,,,,100
heatpump-air,1,0,b_elec,0,b_heat,0,1,,,,,,,,100
heatpump-geo,1,0,b_elec,0,b_heat,0,1,,,,,,,,100
substation,1,0,b_dhs,0,b_heat,0,1,,,,,,,,100
