label,active,investment,bus,storage.nominal_storage_capacity,storage.loss_rate,storage.inflow_conversion_factor,storage.outflow_conversion_factor,storage.invest_relation_input_capacity,storage.invest_relation_output_capacity,invest.ep_costs,invest.maximum,invest.minimum,inflow.nominal_value,outflow.nominal_value,storage.max_storage_level,storage.fixed_losses_relative
thermal-storage,1,0,b_heat,0,,,,,,,100,,,,,
battery-storage,1,0,b_elec,0,,,,,,,100,,,,,
