elec_grid_buy.emission_factor,elec_grid_sell.emission_factor,elec_grid_buy.variable_costs,elec_grid_sell.variable_costs
0.52082766,-0.52082766,0.3,-0.06
0.526664253,-0.526664253,0.3,-0.06
0.527273732,-0.527273732,0.3,-0.06
0.52688463,-0.52688463,0.3,-0.06
0.533042752,-0.533042752,0.3,-0.06
0.543054984,-0.543054984,0.3,-0.06
0.544180183,-0.544180183,0.3,-0.06
0.538476894,-0.538476894,0.3,-0.06
0.533267498,-0.533267498,0.3,-0.06
0.529162375,-0.529162375,0.3,-0.06
0.530349006,-0.530349006,0.3,-0.06
0.530112576,-0.530112576,0.3,-0.06
0.528641343,-0.528641343,0.3,-0.06
0.522535514,-0.522535514,0.3,-0.06
0.517052905,-0.517052905,0.3,-0.06
0.512190957,-0.512190957,0.3,-0.06
0.507368194,-0.507368194,0.3,-0.06
0.503068402,-0.503068402,0.3,-0.06
0.506649347,-0.506649347,0.3,-0.06
0.515264746,-0.515264746,0.3,-0.06
0.532058553,-0.532058553,0.3,-0.06
0.549082082,-0.549082082,0.3,-0.06
0.558613308,-0.558613308,0.3,-0.06
0.559983157,-0.559983157,0.3,-0.06
0.551371258,-0.551371258,0.3,-0.06
0.532573615,-0.532573615,0.3,-0.06
0.510001048,-0.510001048,0.3,-0.06
0.496529098,-0.496529098,0.3,-0.06
0.488768621,-0.488768621,0.3,-0.06
0.4788,-0.4788,0.3,-0.06
0.462307344,-0.462307344,0.3,-0.06
0.442283016,-0.442283016,0.3,-0.06
0.417322759,-0.417322759,0.3,-0.06
0.370787989,-0.370787989,0.3,-0.06
0.319188635,-0.319188635,0.3,-0.06
0.287801156,-0.287801156,0.3,-0.06
0.262660736,-0.262660736,0.3,-0.06
0.247024419,-0.247024419,0.3,-0.06
0.232534201,-0.232534201,0.3,-0.06
0.225034745,-0.225034745,0.3,-0.06
0.226079684,-0.226079684,0.3,-0.06
0.225872664,-0.225872664,0.3,-0.06
0.229753541,-0.229753541,0.3,-0.06
0.240467442,-0.240467442,0.3,-0.06
0.253880693,-0.253880693,0.3,-0.06
0.273670292,-0.273670292,0.3,-0.06
0.283130536,-0.283130536,0.3,-0.06
0.275259712,-0.275259712,0.3,-0.06
0.265960827,-0.265960827,0.3,-0.06
0.258409573,-0.258409573,0.3,-0.06
0.252604537,-0.252604537,0.3,-0.06
0.252141332,-0.252141332,0.3,-0.06
0.256092851,-0.256092851,0.3,-0.06
0.264323027,-0.264323027,0.3,-0.06
0.266179857,-0.266179857,0.3,-0.06
0.270831915,-0.270831915,0.3,-0.06
0.27174408,-0.27174408,0.3,-0.06
0.262413258,-0.262413258,0.3,-0.06
0.258453535,-0.258453535,0.3,-0.06
0.24944513,-0.24944513,0.3,-0.06
0.246484744,-0.246484744,0.3,-0.06
0.235883985,-0.235883985,0.3,-0.06
0.231987349,-0.231987349,0.3,-0.06
0.234130578,-0.234130578,0.3,-0.06
0.233933005,-0.233933005,0.3,-0.06
0.236155221,-0.236155221,0.3,-0.06
0.246022102,-0.246022102,0.3,-0.06
0.273524963,-0.273524963,0.3,-0.06
0.304565736,-0.304565736,0.3,-0.06
0.330906415,-0.330906415,0.3,-0.06
0.343193007,-0.343193007,0.3,-0.06
0.344499049,-0.344499049,0.3,-0.06
0.339126857,-0.339126857,0.3,-0.06
0.335736706,-0.335736706,0.3,-0.06
0.333150594,-0.333150594,0.3,-0.06
0.335623611,-0.335623611,0.3,-0.06
0.340260532,-0.340260532,0.3,-0.06
0.350276454,-0.350276454,0.3,-0.06
0.358959644,-0.358959644,0.3,-0.06
0.365947547,-0.365947547,0.3,-0.06
0.369433126,-0.369433126,0.3,-0.06
0.370773476,-0.370773476,0.3,-0.06
0.379448428,-0.379448428,0.3,-0.06
0.390432203,-0.390432203,0.3,-0.06
0.400717814,-0.400717814,0.3,-0.06
0.414244155,-0.414244155,0.3,-0.06
0.436201392,-0.436201392,0.3,-0.06
0.450688551,-0.450688551,0.3,-0.06
0.466087123,-0.466087123,0.3,-0.06
0.481287141,-0.481287141,0.3,-0.06
0.49396865,-0.49396865,0.3,-0.06
0.520411103,-0.520411103,0.3,-0.06
0.535434284,-0.535434284,0.3,-0.06
0.544917739,-0.544917739,0.3,-0.06
0.556161489,-0.556161489,0.3,-0.06
0.559009916,-0.559009916,0.3,-0.06
0.562275663,-0.562275663,0.3,-0.06
0.570704744,-0.570704744,0.3,-0.06
0.563469657,-0.563469657,0.3,-0.06
0.56852845,-0.56852845,0.3,-0.06
0.576849042,-0.576849042,0.3,-0.06
0.583830982,-0.583830982,0.3,-0.06
0.587495022,-0.587495022,0.3,-0.06
0.594620964,-0.594620964,0.3,-0.06
0.591770547,-0.591770547,0.3,-0.06
0.580557546,-0.580557546,0.3,-0.06
0.578916124,-0.578916124,0.3,-0.06
0.57272656,-0.57272656,0.3,-0.06
0.566638973,-0.566638973,0.3,-0.06
0.558651312,-0.558651312,0.3,-0.06
0.5455882,-0.5455882,0.3,-0.06
0.536588611,-0.536588611,0.3,-0.06
0.522014779,-0.522014779,0.3,-0.06
0.504199357,-0.504199357,0.3,-0.06
0.491104709,-0.491104709,0.3,-0.06
0.486653235,-0.486653235,0.3,-0.06
0.482916645,-0.482916645,0.3,-0.06
0.482242762,-0.482242762,0.3,-0.06
0.4806489,-0.4806489,0.3,-0.06
0.473676075,-0.473676075,0.3,-0.06
0.466475096,-0.466475096,0.3,-0.06
0.459079504,-0.459079504,0.3,-0.06
0.444587106,-0.444587106,0.3,-0.06
0.429752552,-0.429752552,0.3,-0.06
0.419264727,-0.419264727,0.3,-0.06
0.41176238,-0.41176238,0.3,-0.06
0.409698253,-0.409698253,0.3,-0.06
0.410237241,-0.410237241,0.3,-0.06
0.406258397,-0.406258397,0.3,-0.06
0.404197259,-0.404197259,0.3,-0.06
0.395423078,-0.395423078,0.3,-0.06
0.384542701,-0.384542701,0.3,-0.06
0.386837799,-0.386837799,0.3,-0.06
0.379370661,-0.379370661,0.3,-0.06
0.38207277,-0.38207277,0.3,-0.06
0.382543451,-0.382543451,0.3,-0.06
0.385499951,-0.385499951,0.3,-0.06
0.386297177,-0.386297177,0.3,-0.06
0.381631144,-0.381631144,0.3,-0.06
0.36629059,-0.36629059,0.3,-0.06
0.354724552,-0.354724552,0.3,-0.06
0.351666859,-0.351666859,0.3,-0.06
0.357297391,-0.357297391,0.3,-0.06
0.356839057,-0.356839057,0.3,-0.06
0.344065582,-0.344065582,0.3,-0.06
0.323922492,-0.323922492,0.3,-0.06
0.309565549,-0.309565549,0.3,-0.06
0.293677888,-0.293677888,0.3,-0.06
0.285592421,-0.285592421,0.3,-0.06
0.283684866,-0.283684866,0.3,-0.06
0.287045847,-0.287045847,0.3,-0.06
0.292209162,-0.292209162,0.3,-0.06
0.289265605,-0.289265605,0.3,-0.06
0.286768971,-0.286768971,0.3,-0.06
0.273135939,-0.273135939,0.3,-0.06
0.261215898,-0.261215898,0.3,-0.06
0.25857525,-0.25857525,0.3,-0.06
0.243683121,-0.243683121,0.3,-0.06
0.21882526,-0.21882526,0.3,-0.06
0.216453286,-0.216453286,0.3,-0.06
0.221501431,-0.221501431,0.3,-0.06
0.231015915,-0.231015915,0.3,-0.06
0.232843583,-0.232843583,0.3,-0.06
0.231676693,-0.231676693,0.3,-0.06
0.228658613,-0.228658613,0.3,-0.06
0.222105596,-0.222105596,0.3,-0.06
0.218776046,-0.218776046,0.3,-0.06
0.21281715,-0.21281715,0.3,-0.06
0.206376446,-0.206376446,0.3,-0.06
0.207431112,-0.207431112,0.3,-0.06
0.19949515,-0.19949515,0.3,-0.06
0.187239054,-0.187239054,0.3,-0.06
0.187902974,-0.187902974,0.3,-0.06
0.186771328,-0.186771328,0.3,-0.06
0.187757422,-0.187757422,0.3,-0.06
0.186716579,-0.186716579,0.3,-0.06
0.184197331,-0.184197331,0.3,-0.06
0.180601554,-0.180601554,0.3,-0.06
0.177763012,-0.177763012,0.3,-0.06
0.182598023,-0.182598023,0.3,-0.06
0.189811091,-0.189811091,0.3,-0.06
0.191957512,-0.191957512,0.3,-0.06
0.1903228,-0.1903228,0.3,-0.06
0.195170818,-0.195170818,0.3,-0.06
0.197243552,-0.197243552,0.3,-0.06
0.206218707,-0.206218707,0.3,-0.06
0.212638875,-0.212638875,0.3,-0.06
0.223796737,-0.223796737,0.3,-0.06
0.250403269,-0.250403269,0.3,-0.06
0.274801212,-0.274801212,0.3,-0.06
0.291289317,-0.291289317,0.3,-0.06
0.293916022,-0.293916022,0.3,-0.06
0.285285744,-0.285285744,0.3,-0.06
0.271829729,-0.271829729,0.3,-0.06
0.262537439,-0.262537439,0.3,-0.06
0.263789345,-0.263789345,0.3,-0.06
0.272569588,-0.272569588,0.3,-0.06
0.290010118,-0.290010118,0.3,-0.06
0.302314105,-0.302314105,0.3,-0.06
0.314733274,-0.314733274,0.3,-0.06
0.324613606,-0.324613606,0.3,-0.06
0.326708778,-0.326708778,0.3,-0.06
0.324170263,-0.324170263,0.3,-0.06
0.324167565,-0.324167565,0.3,-0.06
0.324640754,-0.324640754,0.3,-0.06
0.316238012,-0.316238012,0.3,-0.06
0.318280739,-0.318280739,0.3,-0.06
0.309601915,-0.309601915,0.3,-0.06
0.311322857,-0.311322857,0.3,-0.06
0.305077321,-0.305077321,0.3,-0.06
0.305919891,-0.305919891,0.3,-0.06
0.308569369,-0.308569369,0.3,-0.06
0.320619107,-0.320619107,0.3,-0.06
0.328093534,-0.328093534,0.3,-0.06
0.3408353,-0.3408353,0.3,-0.06
0.343827468,-0.343827468,0.3,-0.06
0.339634496,-0.339634496,0.3,-0.06
0.33163176,-0.33163176,0.3,-0.06
0.325838585,-0.325838585,0.3,-0.06
0.322755923,-0.322755923,0.3,-0.06
0.31964527,-0.31964527,0.3,-0.06
0.317281941,-0.317281941,0.3,-0.06
0.314885521,-0.314885521,0.3,-0.06
0.311609306,-0.311609306,0.3,-0.06
0.305379829,-0.305379829,0.3,-0.06
0.297787944,-0.297787944,0.3,-0.06
0.287483254,-0.287483254,0.3,-0.06
0.281133881,-0.281133881,0.3,-0.06
0.280593044,-0.280593044,0.3,-0.06
0.280135103,-0.280135103,0.3,-0.06
0.277925417,-0.277925417,0.3,-0.06
0.278497968,-0.278497968,0.3,-0.06
0.287439218,-0.287439218,0.3,-0.06
0.29424091,-0.29424091,0.3,-0.06
0.298365121,-0.298365121,0.3,-0.06
0.324227258,-0.324227258,0.3,-0.06
0.362071373,-0.362071373,0.3,-0.06
0.376794967,-0.376794967,0.3,-0.06
0.388325609,-0.388325609,0.3,-0.06
0.380073926,-0.380073926,0.3,-0.06
0.356887185,-0.356887185,0.3,-0.06
0.339173387,-0.339173387,0.3,-0.06
0.333266395,-0.333266395,0.3,-0.06
0.329098271,-0.329098271,0.3,-0.06
0.340928696,-0.340928696,0.3,-0.06
0.362996259,-0.362996259,0.3,-0.06
0.37392929,-0.37392929,0.3,-0.06
0.378120721,-0.378120721,0.3,-0.06
0.378402546,-0.378402546,0.3,-0.06
0.365197199,-0.365197199,0.3,-0.06
0.338362906,-0.338362906,0.3,-0.06
0.319631817,-0.319631817,0.3,-0.06
0.313202018,-0.313202018,0.3,-0.06
0.291383166,-0.291383166,0.3,-0.06
0.278102385,-0.278102385,0.3,-0.06
0.272454143,-0.272454143,0.3,-0.06
0.269739156,-0.269739156,0.3,-0.06
0.273942249,-0.273942249,0.3,-0.06
0.277531848,-0.277531848,0.3,-0.06
0.29009502,-0.29009502,0.3,-0.06
0.332262566,-0.332262566,0.3,-0.06
0.366794604,-0.366794604,0.3,-0.06
0.377540736,-0.377540736,0.3,-0.06
0.381990577,-0.381990577,0.3,-0.06
0.375359458,-0.375359458,0.3,-0.06
0.365092697,-0.365092697,0.3,-0.06
0.364556883,-0.364556883,0.3,-0.06
0.368932994,-0.368932994,0.3,-0.06
0.383273738,-0.383273738,0.3,-0.06
0.402009653,-0.402009653,0.3,-0.06
0.406282808,-0.406282808,0.3,-0.06
0.395655074,-0.395655074,0.3,-0.06
0.38639622,-0.38639622,0.3,-0.06
0.381678986,-0.381678986,0.3,-0.06
0.375396838,-0.375396838,0.3,-0.06
0.370468998,-0.370468998,0.3,-0.06
0.375523887,-0.375523887,0.3,-0.06
0.379440949,-0.379440949,0.3,-0.06
0.394101029,-0.394101029,0.3,-0.06
0.405557731,-0.405557731,0.3,-0.06
0.43129841,-0.43129841,0.3,-0.06
0.45817365,-0.45817365,0.3,-0.06
0.487018907,-0.487018907,0.3,-0.06
0.511080715,-0.511080715,0.3,-0.06
0.524758545,-0.524758545,0.3,-0.06
0.530289565,-0.530289565,0.3,-0.06
0.530412344,-0.530412344,0.3,-0.06
0.527471135,-0.527471135,0.3,-0.06
0.521301812,-0.521301812,0.3,-0.06
0.507970738,-0.507970738,0.3,-0.06
0.502154268,-0.502154268,0.3,-0.06
0.504459263,-0.504459263,0.3,-0.06
0.520321707,-0.520321707,0.3,-0.06
0.549543872,-0.549543872,0.3,-0.06
0.570779975,-0.570779975,0.3,-0.06
0.56313176,-0.56313176,0.3,-0.06
0.558374082,-0.558374082,0.3,-0.06
0.558169739,-0.558169739,0.3,-0.06
0.562116686,-0.562116686,0.3,-0.06
0.564576335,-0.564576335,0.3,-0.06
0.567385437,-0.567385437,0.3,-0.06
0.568229976,-0.568229976,0.3,-0.06
0.566842124,-0.566842124,0.3,-0.06
0.566242003,-0.566242003,0.3,-0.06
0.570133417,-0.570133417,0.3,-0.06
0.573137299,-0.573137299,0.3,-0.06
0.570362242,-0.570362242,0.3,-0.06
0.569414496,-0.569414496,0.3,-0.06
0.569121936,-0.569121936,0.3,-0.06
0.566484608,-0.566484608,0.3,-0.06
0.561044707,-0.561044707,0.3,-0.06
0.537442938,-0.537442938,0.3,-0.06
0.511114832,-0.511114832,0.3,-0.06
0.493143911,-0.493143911,0.3,-0.06
0.491280406,-0.491280406,0.3,-0.06
0.500858325,-0.500858325,0.3,-0.06
0.523308198,-0.523308198,0.3,-0.06
0.560624549,-0.560624549,0.3,-0.06
0.584492657,-0.584492657,0.3,-0.06
0.575476049,-0.575476049,0.3,-0.06
0.563037345,-0.563037345,0.3,-0.06
0.55550526,-0.55550526,0.3,-0.06
0.548697169,-0.548697169,0.3,-0.06
0.544779267,-0.544779267,0.3,-0.06
0.546089942,-0.546089942,0.3,-0.06
0.544889716,-0.544889716,0.3,-0.06
0.545016078,-0.545016078,0.3,-0.06
0.554474325,-0.554474325,0.3,-0.06
0.564576801,-0.564576801,0.3,-0.06
0.572031315,-0.572031315,0.3,-0.06
0.57792664,-0.57792664,0.3,-0.06
0.581887281,-0.581887281,0.3,-0.06
0.584711453,-0.584711453,0.3,-0.06
0.590626296,-0.590626296,0.3,-0.06
0.585953215,-0.585953215,0.3,-0.06
0.561829408,-0.561829408,0.3,-0.06
0.53714093,-0.53714093,0.3,-0.06
0.522215875,-0.522215875,0.3,-0.06
0.51870675,-0.51870675,0.3,-0.06
0.528029306,-0.528029306,0.3,-0.06
0.549732107,-0.549732107,0.3,-0.06
0.585310879,-0.585310879,0.3,-0.06
0.611662219,-0.611662219,0.3,-0.06
0.612596769,-0.612596769,0.3,-0.06
0.608912537,-0.608912537,0.3,-0.06
0.605821312,-0.605821312,0.3,-0.06
0.601142465,-0.601142465,0.3,-0.06
0.597724711,-0.597724711,0.3,-0.06
0.595652233,-0.595652233,0.3,-0.06
0.594941181,-0.594941181,0.3,-0.06
0.589567488,-0.589567488,0.3,-0.06
0.58631818,-0.58631818,0.3,-0.06
0.579846872,-0.579846872,0.3,-0.06
0.575535146,-0.575535146,0.3,-0.06
0.572381842,-0.572381842,0.3,-0.06
0.572336678,-0.572336678,0.3,-0.06
0.571327697,-0.571327697,0.3,-0.06
0.572878309,-0.572878309,0.3,-0.06
0.571285331,-0.571285331,0.3,-0.06
0.555938676,-0.555938676,0.3,-0.06
0.534155954,-0.534155954,0.3,-0.06
0.516627643,-0.516627643,0.3,-0.06
0.50966891,-0.50966891,0.3,-0.06
0.512127388,-0.512127388,0.3,-0.06
0.52732621,-0.52732621,0.3,-0.06
0.554983069,-0.554983069,0.3,-0.06
0.57267257,-0.57267257,0.3,-0.06
0.583341767,-0.583341767,0.3,-0.06
0.576896146,-0.576896146,0.3,-0.06
0.574954263,-0.574954263,0.3,-0.06
0.5738961,-0.5738961,0.3,-0.06
0.571370387,-0.571370387,0.3,-0.06
0.575982606,-0.575982606,0.3,-0.06
0.576069353,-0.576069353,0.3,-0.06
0.572698841,-0.572698841,0.3,-0.06
0.56388728,-0.56388728,0.3,-0.06
0.556379185,-0.556379185,0.3,-0.06
0.549234585,-0.549234585,0.3,-0.06
0.544080091,-0.544080091,0.3,-0.06
0.539793808,-0.539793808,0.3,-0.06
0.535245052,-0.535245052,0.3,-0.06
0.529812687,-0.529812687,0.3,-0.06
0.527760274,-0.527760274,0.3,-0.06
0.509323275,-0.509323275,0.3,-0.06
0.49493588,-0.49493588,0.3,-0.06
0.484844622,-0.484844622,0.3,-0.06
0.479724446,-0.479724446,0.3,-0.06
0.479576875,-0.479576875,0.3,-0.06
0.490073107,-0.490073107,0.3,-0.06
0.505141663,-0.505141663,0.3,-0.06
0.510450324,-0.510450324,0.3,-0.06
0.508704531,-0.508704531,0.3,-0.06
0.498400335,-0.498400335,0.3,-0.06
0.495392502,-0.495392502,0.3,-0.06
0.503164126,-0.503164126,0.3,-0.06
0.510339402,-0.510339402,0.3,-0.06
0.51985842,-0.51985842,0.3,-0.06
0.52439318,-0.52439318,0.3,-0.06
0.530203164,-0.530203164,0.3,-0.06
0.531709953,-0.531709953,0.3,-0.06
0.536286783,-0.536286783,0.3,-0.06
0.541394729,-0.541394729,0.3,-0.06
0.549868639,-0.549868639,0.3,-0.06
0.557688096,-0.557688096,0.3,-0.06
0.560110049,-0.560110049,0.3,-0.06
0.566145417,-0.566145417,0.3,-0.06
0.565983072,-0.565983072,0.3,-0.06
0.561426367,-0.561426367,0.3,-0.06
0.553268699,-0.553268699,0.3,-0.06
0.54778159,-0.54778159,0.3,-0.06
0.543988599,-0.543988599,0.3,-0.06
0.548718884,-0.548718884,0.3,-0.06
0.555973505,-0.555973505,0.3,-0.06
0.564172854,-0.564172854,0.3,-0.06
0.566781272,-0.566781272,0.3,-0.06
0.56884795,-0.56884795,0.3,-0.06
0.55765526,-0.55765526,0.3,-0.06
0.557448941,-0.557448941,0.3,-0.06
0.565684207,-0.565684207,0.3,-0.06
0.571303214,-0.571303214,0.3,-0.06
0.573741738,-0.573741738,0.3,-0.06
0.579787005,-0.579787005,0.3,-0.06
0.580301565,-0.580301565,0.3,-0.06
0.582507089,-0.582507089,0.3,-0.06
0.584089332,-0.584089332,0.3,-0.06
0.587874331,-0.587874331,0.3,-0.06
0.590401404,-0.590401404,0.3,-0.06
0.597261333,-0.597261333,0.3,-0.06
0.599271082,-0.599271082,0.3,-0.06
0.602184107,-0.602184107,0.3,-0.06
0.603809985,-0.603809985,0.3,-0.06
0.59995398,-0.59995398,0.3,-0.06
0.590411365,-0.590411365,0.3,-0.06
0.585717794,-0.585717794,0.3,-0.06
0.584055858,-0.584055858,0.3,-0.06
0.585650222,-0.585650222,0.3,-0.06
0.595240714,-0.595240714,0.3,-0.06
0.604113557,-0.604113557,0.3,-0.06
0.610277448,-0.610277448,0.3,-0.06
0.618698346,-0.618698346,0.3,-0.06
0.624114567,-0.624114567,0.3,-0.06
0.612125952,-0.612125952,0.3,-0.06
0.611694744,-0.611694744,0.3,-0.06
0.613300352,-0.613300352,0.3,-0.06
0.615197526,-0.615197526,0.3,-0.06
0.619644557,-0.619644557,0.3,-0.06
0.617241298,-0.617241298,0.3,-0.06
0.616262014,-0.616262014,0.3,-0.06
0.614678248,-0.614678248,0.3,-0.06
0.614033843,-0.614033843,0.3,-0.06
0.616198485,-0.616198485,0.3,-0.06
0.615770791,-0.615770791,0.3,-0.06
0.612989184,-0.612989184,0.3,-0.06
0.606004954,-0.606004954,0.3,-0.06
0.599116834,-0.599116834,0.3,-0.06
0.586795354,-0.586795354,0.3,-0.06
0.572021044,-0.572021044,0.3,-0.06
0.557261931,-0.557261931,0.3,-0.06
0.544839969,-0.544839969,0.3,-0.06
0.537166554,-0.537166554,0.3,-0.06
0.536568714,-0.536568714,0.3,-0.06
0.538057609,-0.538057609,0.3,-0.06
0.531941108,-0.531941108,0.3,-0.06
0.517368104,-0.517368104,0.3,-0.06
0.497319341,-0.497319341,0.3,-0.06
0.482827706,-0.482827706,0.3,-0.06
0.469416723,-0.469416723,0.3,-0.06
0.462777121,-0.462777121,0.3,-0.06
0.45870675,-0.45870675,0.3,-0.06
0.451792934,-0.451792934,0.3,-0.06
0.436557178,-0.436557178,0.3,-0.06
0.424182367,-0.424182367,0.3,-0.06
0.418068567,-0.418068567,0.3,-0.06
0.420793496,-0.420793496,0.3,-0.06
0.426818868,-0.426818868,0.3,-0.06
0.441029509,-0.441029509,0.3,-0.06
0.442972815,-0.442972815,0.3,-0.06
0.441616662,-0.441616662,0.3,-0.06
0.451846823,-0.451846823,0.3,-0.06
0.451269817,-0.451269817,0.3,-0.06
0.449200046,-0.449200046,0.3,-0.06
0.443271567,-0.443271567,0.3,-0.06
0.435080506,-0.435080506,0.3,-0.06
0.427407499,-0.427407499,0.3,-0.06
0.424636241,-0.424636241,0.3,-0.06
0.426418653,-0.426418653,0.3,-0.06
0.425225448,-0.425225448,0.3,-0.06
0.422716605,-0.422716605,0.3,-0.06
0.414981241,-0.414981241,0.3,-0.06
0.40438592,-0.40438592,0.3,-0.06
0.378323173,-0.378323173,0.3,-0.06
0.353998983,-0.353998983,0.3,-0.06
0.345796689,-0.345796689,0.3,-0.06
0.32734622,-0.32734622,0.3,-0.06
0.302177991,-0.302177991,0.3,-0.06
0.29056187,-0.29056187,0.3,-0.06
0.277755958,-0.277755958,0.3,-0.06
0.276035026,-0.276035026,0.3,-0.06
