weather.temperature,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2
6,0,0,0
5.6,0,0,0
5.4,0,0,0
6.1,0,0,0
5.3,0,0,0
5.2,0,0,0
6.5,0,0,0
6.5,0,1,1
7.6,0,16,16
7.2,0,35,35
7.5,0,44,44
8,0,50,50
6.3,0,38,38
6.5,0,37,37
7.2,0,7,7
6.9,0,0,0
7.2,0,0,0
6.9,0,0,0
6.9,0,0,0
6.3,0,0,0
5.9,0,0,0
5.5,0,0,0
5.2,0,0,0
5.4,0,0,0
4.9,0,0,0
5.1,0,0,0
4.8,0,0,0
4,0,0,0
4.2,0,0,0
3.8,0,0,0
3.7,0,0,0
4.5,0,2,2
4.9,0,33,33
5.6,4,67,71
5.9,1,78,79
6.6,1,81,82
7.2,0,62,62
7.7,1,56,57
7.4,0,21,21
7.6,0,0,0
7.2,0,0,0
7.2,0,0,0
7.2,0,0,0
7.2,0,0,0
7.6,0,0,0
8.1,0,0,0
8.4,0,0,0
8,0,0,0
8.3,0,0,0
8.1,0,0,0
7.8,0,0,0
7.2,0,0,0
7.5,0,0,0
7.7,0,0,0
8.1,0,0,0
8,0,2,2
8,0,25,25
8.7,0,39,39
8.3,0,46,46
8.8,0,73,73
9.5,0,60,60
9,20,77,97
9.6,29,37,66
8.7,0,0,0
8.2,0,0,0
8.3,0,0,0
8.7,0,0,0
8.7,0,0,0
8.7,0,0,0
9,0,0,0
8.5,0,0,0
8.4,0,0,0
8.1,0,0,0
7.6,0,0,0
7.9,0,0,0
7.8,0,0,0
7.4,0,0,0
7.6,0,0,0
7.1,0,0,0
6.9,0,1,1
7,0,13,13
7.2,0,34,34
7.4,0,60,60
7.4,0,50,50
7.2,0,34,34
7.3,0,24,24
7.4,0,12,12
7.3,0,0,0
7.4,0,0,0
7.6,0,0,0
7.6,0,0,0
7.5,0,0,0
7.7,0,0,0
7.8,0,0,0
6.2,0,0,0
4.7,0,0,0
3.3,0,0,0
2.9,0,0,0
2.8,0,0,0
2.1,0,0,0
1.9,0,0,0
2.9,0,0,0
3.3,0,0,0
3.7,0,6,6
3.8,0,34,34
4.1,2,70,72
4.2,1,86,87
4,3,98,101
4.1,0,78,78
4.1,0,60,60
4,0,33,33
3.5,0,0,0
3.6,0,0,0
3.5,0,0,0
3.3,0,0,0
2.5,0,0,0
3,0,0,0
2.8,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2.2,0,0,0
2.8,0,0,0
2.2,0,0,0
2.3,0,0,0
2.4,0,0,0
2.6,0,0,0
2.9,0,7,7
3.4,25,39,64
3.5,21,73,94
3.7,32,96,128
3.8,38,102,140
4.2,30,94,124
3.7,5,65,70
2.1,11,36,47
1.6,0,0,0
0.8,0,0,0
0.7,0,0,0
0.3,0,0,0
0.1,0,0,0
0.4,0,0,0
0.5,0,0,0
0.2,0,0,0
0.3,0,0,0
-0.2,0,0,0
-0.4,0,0,0
-1.1,0,0,0
-0.8,0,0,0
-0.6,0,0,0
-0.6,0,0,0
-0.7,0,0,0
-0.8,0,4,4
-0.6,0,35,35
-0.5,16,68,84
-0.8,16,91,107
-1,14,95,109
-1.2,4,82,86
-1.4,0,57,57
-1.8,0,20,20
-2.4,0,0,0
-2.3,0,0,0
-2.9,0,0,0
-2.3,0,0,0
-2.7,0,0,0
-2.8,0,0,0
-2.4,0,0,0
-2.5,0,0,0
-2,0,0,0
-1.7,0,0,0
-1.3,0,0,0
-1.6,0,0,0
-1.2,0,0,0
-1.3,0,0,0
-0.6,0,0,0
-0.6,0,0,0
-0.2,0,9,9
0.6,2,42,44
1.7,0,51,51
2.6,0,76,76
2.7,62,109,171
2,28,104,132
1.2,12,77,89
0.3,0,26,26
-0.2,0,1,1
-0.7,0,0,0
-1.1,0,0,0
-0.8,0,0,0
-0.6,0,0,0
-0.3,0,0,0
0.2,0,0,0
0.4,0,0,0
1.1,0,0,0
2.1,0,0,0
2.1,0,0,0
2.1,0,0,0
2.2,0,0,0
2.1,0,0,0
1.9,0,0,0
2.1,0,0,0
2.4,0,3,3
2.4,0,22,22
2.5,0,55,55
2.4,0,37,37
2.3,0,71,71
2.2,0,77,77
1.7,0,40,40
1.6,0,21,21
1.2,0,1,1
0.8,0,0,0
0.4,0,0,0
-0.3,0,0,0
-0.9,0,0,0
-0.8,0,0,0
-0.8,0,0,0
0.1,0,0,0
1.6,0,0,0
2.1,0,0,0
2.4,0,0,0
2.6,0,0,0
2.3,0,0,0
2.2,0,0,0
1.9,0,0,0
1.7,0,0,0
1.6,0,6,6
1.7,0,38,38
1.8,0,48,48
1.9,0,86,86
1.8,6,123,129
2,16,131,147
2.1,9,95,104
1.4,0,30,30
1.2,0,1,1
0.1,0,0,0
0.1,0,0,0
-0.8,0,0,0
-0.4,0,0,0
-0.5,0,0,0
-0.5,0,0,0
-0.5,0,0,0
-0.6,0,0,0
-0.4,0,0,0
-0.4,0,0,0
-0.3,0,0,0
-0.1,0,0,0
0.4,0,0,0
1.5,0,0,0
1.9,0,0,0
2.4,0,6,6
3.4,0,32,32
4.2,0,57,57
4.5,0,74,74
4.5,0,88,88
4.1,0,69,69
4.1,0,56,56
3.8,0,33,33
3.7,0,1,1
3.8,0,0,0
3.9,0,0,0
4.2,0,0,0
4.1,0,0,0
4.1,0,0,0
4.2,0,0,0
4.3,0,0,0
4.2,0,0,0
4.1,0,0,0
